"appid"
10
20
30
40
50
60
70
130
220
240
320
340
360
380
400
420
550
570
730
1250
4500
4570
4580
8930
9310
9450
17570
20920
22300
34330
35420
41000
41010
49400
49520
55150
57900
65980
72850
200510
200710
201790
201810
213850
214170
216250
218230
221380
225080
231430
232090
235540
242760
249990
251150
257420
261640
265630
268500
269770
280790
282440
283270
286160
289070
297000
316010
316790
319630
359550
434050
435150
475150
489830
493520
527430
531640
548430
550040
552500
564310
606150
611500
623990
640820
743650
791930
815370
899770
924970
945360
1042800
1056640
1083500
1113570
1128810
1213210
1215480
1240440
1245620
1263070
1275640
1330000
1361210
1792250
2087030
80
100
280
300
440
500
620
20900
25900
39510
45410
46260
63380
92900
200110
204080
214570
227300
233450
236110
236390
252490
264710
271590
273110
282660
286690
287390
292030
304430
304930
324800
346110
346900
356190
380600
393420
397950
407530
412020
431960
433850
439700
440900
444090
450390
460930
530630
578080
581320
582660
596350
600420
606880
612880
674020
690790
700580
728740
783770
813820
878760
931180
950670
1016800
1062520
1144200
1151640
1172470
1172620
1222370
1222680
1248130
1262560
1284210
1302240
1326470
1328660
1435790
1449560
1480560
1538570
1645820
1794680
1797880
1811260
1846380
1938090
2066020
2075730
12120
12250
21690
110800
203160
223850
230070
254700
265300
291550
306130
322330
335300
337360
367500
367520
374320
377160
383150
383180
386360
389730
397540
431240
438100
438740
466240
471710
477160
485510
508440
570940
582010
617290
629520
630100
814380
836620
858460
999730
1063730
1085660
1174180
1238060
1259970
1276390
1284410
1307550
1325200
1418100
1599340
1818750
2064650
4000
24870
43110
71340
99900
104900
113400
200210
202970
202990
206210
206610
214420
214510
216150
218510
218620
224900
225540
226840
230410
234710
242720
246280
249870
252950
286940
291480
293540
299360
301520
304050
311210
321040
323370
333930
335240
338180
444640
454650
524900
527440
577800
616560
619910
633230
640590
646910
677620
700330
714010
760160
823130
851850
976310
990080
1097150
1249200
1292630
1364390
1593500
1677740
2820
2870
8870
9350
9420
10500
12210
13210
15620
17300
17330
17340
17410
20570
22310
22320
22330
22340
22370
22380
23310
28050
33230
42910
56400
201230
201280
203770
205100
220240
238210
244160
252690
266840
273350
282070
285190
298900
364360
365720
379720
392160
413150
445220
478980
718850
816090
882100
976730
1158310
